IDUnico,FuenteAPI,TerminoBusqueda,Titulo,TituloNormalizado,Resumen,ResumenNormalizado,ResumenEjecutivo,Aplicabilidad,RecomendacionUso,AreaTematica,NivelEvidencia,Autor,Revista,FechaPublicacion,TipoDocumento,Citaciones,DOI,OpenAlexID,SemanticScholarID,Enlace,PalabrasClave,FechaCaptura
"10.1111/nyas.15129","Crossref","generative ai education","Generative AI and generative education","generative ai and generative education","Abstract There is much public anxiety about how today's students use chatbots to complete assignments. But AI's integration within schools will more deeply impact the next generation of college graduates. The market value of future college degrees is far from certain.","abstract there is much public anxiety about how today s students use chatbots to complete assignments but ai s integration within schools will more deeply impact the next generation of college graduates the market value of future college degrees is far from certain","Generative AI and generative education. Abstract There is much public anxiety about how today's students use chatbots to complete assignments. But AI's integration within schools will more deeply impact the next generation of college graduates. The market value of future college degrees is far from certain.","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","Thomas Krendl Gilbert","Annals of the New York Academy of Sciences","2024","journal-article","","10.1111/nyas.15129","","","https://doi.org/10.1111/nyas.15129","generative, generative, education","2026-07-29T00:40:36.753Z"
"10.31039/ljss.2023.6.114","Crossref","generative ai education","Generative AI in Education","generative ai in education","Recently, the field of artificial intelligence (AI) has advanced significantly, with generativeAI rising to the top of the tech industry's most-discussed subjects list. Education like manyother fields could be transformed by generative AI like ChatGPT, Bard, DALL-E,Midjourney, and DeepMind, which all have the ability to revolutionize a number of industrieswith all the benefits and drawbacks they entail.The paper begins by providing an overview of generative AI, highlighting its capacity togenerate human-like text, images, and even interactive simulations. It delves into theunderlying principles and techniques that empower generative AI models, focusing onprominent models like ChatGPT and Midjourney.To assess the effectiveness of generative AI in educational contexts, the paper examinesstudies that have evaluated learning outcomes, student engagement, and teacher support.These findings provide insights into the efficiency of generative AI as a supplementaryeducational tool and its role in fostering innovative teaching practices. The paper also addressesconcerns around the technology being too integrated into education like over dependence andcheating.Finally, the paper discusses future possibilities and challenges for the integration of generativeAI in education. It proposes strategies for maximizing the benefits of this technology whileensuring ethical considerations are met. The paper concludes with a call for further researchand collaboration between AI experts, educators, policymakers, and other stakeholders toharness the full potential of generative AI in transforming the learning landscape.","recently the field of artificial intelligence ai has advanced significantly with generativeai rising to the top of the tech industry s most discussed subjects list education like manyother fields could be transformed by generative ai like chatgpt bard dall e midjourney and deepmind which all have the ability to revolutionize a number of industrieswith all the benefits and drawbacks they entail the paper begins by providing an overview of generative ai highlighting its capacity togenerate human like text images and even interactive simulations it delves into theunderlying principles and techniques that empower generative ai models focusing onprominent models like chatgpt and midjourney to assess the effectiveness of generative ai in educational contexts the paper examinesstudies that have evaluated learning outcomes student engagement and teacher support these findings provide insights into the efficiency of generative ai as a supplementaryeducational tool and its role in fostering innovative teaching practices the paper also addressesconcerns around the technology being too integrated into education like over dependence andcheating finally the paper discusses future possibilities and challenges for the integration of generativeai in education it proposes strategies for maximizing the benefits of this technology whileensuring ethical considerations are met the paper concludes with a call for further researchand collaboration between ai experts educators policymakers and other stakeholders toharness the full potential of generative ai in transforming the learning landscape","Generative AI in Education. Recently, the field of artificial intelligence (AI) has advanced significantly, with generativeAI rising to the top of the tech industry's most-discussed subjects list. Education like manyother fields could be transformed by generative AI like ChatGPT, Bard, DALL-E,Midjourney, and DeepMind, which all have the ability to revolutionize a number of ind…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","Muhammet Emir Kars","London Journal of Social Sciences","2023","journal-article","","10.31039/ljss.2023.6.114","","","https://doi.org/10.31039/ljss.2023.6.114","generative, education","2026-07-29T00:40:36.753Z"
"10.31803/tg-20240624075046","Crossref","generative ai education","Generative AI in Education","generative ai in education","Since a significant amount of time and effort teachers spend on creating presentation, Generative Artificial Intelligence (GenAI) tools are used to automate many of the tasks associated with creating slides. Given the variety of GenAI presentation tools, the goal of this research was to identify those that are available online and offer free usage plans. Then compare and analyse them according to the identified features and recognized limitations, as well as the quality of the generated content. The obtained results indicate differences in the available free plans of the analysed tools, but the choice of a GenAI presentation tool depends on a number of different factors. However, teachers may be encouraged to use these tools mostly by the fact that they can create presentations in just a few minutes, possibly only by entering some additional options and instructions.","since a significant amount of time and effort teachers spend on creating presentation generative artificial intelligence genai tools are used to automate many of the tasks associated with creating slides given the variety of genai presentation tools the goal of this research was to identify those that are available online and offer free usage plans then compare and analyse them according to the identified features and recognized limitations as well as the quality of the generated content the obtained results indicate differences in the available free plans of the analysed tools but the choice of a genai presentation tool depends on a number of different factors however teachers may be encouraged to use these tools mostly by the fact that they can create presentations in just a few minutes possibly only by entering some additional options and instructions","Generative AI in Education. Since a significant amount of time and effort teachers spend on creating presentation, Generative Artificial Intelligence (GenAI) tools are used to automate many of the tasks associated with creating slides. Given the variety of GenAI presentation tools, the goal of this research was to identify those that are available online and offer free usage p…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","Tamara Ređep, Andrija Bernik","Tehnički glasnik","2025","journal-article","","10.31803/tg-20240624075046","","","https://doi.org/10.31803/tg-20240624075046","generative, education","2026-07-29T00:40:36.753Z"
"10.53735/cisse.v13i1.225","Crossref","generative ai education","Cybersecurity Education with Generative AI","cybersecurity education with generative ai","Creating engaging cybersecurity education materials typically requires months of development time and specialized expertise. This paper describes how we used generative AI to address this challenge. We utilized Claude AI to generate a complete interactive platform that teaches students basic micro-electronics through IoT hacking. Through iterative prompting, we generated more than 15,000 lines of functional code, including interactive visualizations, Python security tools, and gamified quizzes with real-time leaderboards. The curriculum guides students through the evolution of computing—from vacuum tubes to modern IoT devices — then helps them apply this foundation to discover real vulnerabilities. We implemented this platform at a GenCyber summer camp with 40 participants, where students identified actual security issues in AmpliPi audio systems—open-source network audio devices designed for multi-room audio distribution—including password weaknesses and denial of service flaws. The entire development process took only three weeks instead of the typical several months. The AI produced quality educational content, although we reviewed everything for technical accuracy and ethical considerations. During the camp, students remained engaged through competitive elements and hands-on labs, learning both theoretical concepts and practical skills. The students used AI-generated tools, including working implementations of SlowLoris and dictionary attacks, to test real systems. Our experience demonstrates that generative AI can efficiently create effective cybersecurity education materials that remain technically current. All materials are publicly available on GitHub for educational use. This approach could help educators stay on track with the rapidly evolving technology despite traditional curriculum development constraints.","creating engaging cybersecurity education materials typically requires months of development time and specialized expertise this paper describes how we used generative ai to address this challenge we utilized claude ai to generate a complete interactive platform that teaches students basic micro electronics through iot hacking through iterative prompting we generated more than 15 000 lines of functional code including interactive visualizations python security tools and gamified quizzes with real time leaderboards the curriculum guides students through the evolution of computing from vacuum tubes to modern iot devices then helps them apply this foundation to discover real vulnerabilities we implemented this platform at a gencyber summer camp with 40 participants where students identified actual security issues in amplipi audio systems open source network audio devices designed for multi room audio distribution including password weaknesses and denial of service flaws the entire development process took only three weeks instead of the typical several months the ai produced quality educational content although we reviewed everything for technical accuracy and ethical considerations during the camp students remained engaged through competitive elements and hands on labs learning both theoretical concepts and practical skills the students used ai generated tools including working implementations of slowloris and dictionary attacks to test real systems our experience demonstrates that generative ai can efficiently create effective cybersecurity education materials that remain technically current all materials are publicly available on github for educational use this approach could help educators stay on track with the rapidly evolving technology despite traditional curriculum development constraints","Cybersecurity Education with Generative AI. Creating engaging cybersecurity education materials typically requires months of development time and specialized expertise. This paper describes how we used generative AI to address this challenge. We utilized Claude AI to generate a complete interactive platform that teaches students basic micro-electronics through IoT hacking. Thr…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Revisar pertinencia metodológica y usar como referencia complementaria.","Educación","Medio","Kushal Badal, Xiaohong Yuan, Huirong Fu, Darrin Hanna, Jason Gorski","Journal of The Colloquium for Information Systems Security Education","2026","journal-article","","10.53735/cisse.v13i1.225","","","https://doi.org/10.53735/cisse.v13i1.225","cybersecurity, education, with, generative","2026-07-29T00:40:36.753Z"
"10.3389/frai.2024.1532896","Crossref","generative ai education","Editorial: Generative AI in education","editorial generative ai in education","Sin resumen disponible","","Editorial: Generative AI in education. Registro recuperado desde Crossref sin resumen disponible.","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","Diego Zapata-Rivera, Ilaria Torre, Chien-Sing Lee, Antonio Sarasa-Cabezuelo, Ioana Ghergulescu, Paul Libbrecht","Frontiers in Artificial Intelligence","2024","journal-article","","10.3389/frai.2024.1532896","","","https://doi.org/10.3389/frai.2024.1532896","editorial, generative, education","2026-07-29T00:40:36.753Z"
"10.1145/3632523","Crossref","generative ai education","Generative AI and CS Education","generative ai and cs education","Increasing knowledge sharing between industry and academia.","increasing knowledge sharing between industry and academia","Generative AI and CS Education. Increasing knowledge sharing between industry and academia.","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","Maggie Johnson","Communications of the ACM","2024","journal-article","","10.1145/3632523","","","https://doi.org/10.1145/3632523","generative, education","2026-07-29T00:40:36.753Z"
"10.24135/pjtel.v5i1.175","Crossref","generative ai education","Generative AI and education ecologies","generative ai and education ecologies","What role can generative AI have an art and design education? Given that we are in a year of change as open-source Open AI systems shift how we teach, learn, and assess in times of question-answering chatbot and personal assistance tools. Applying a post-human approach (Blaikie, et al, 2020) to education might help us rethink pedagogy (Wessels, et al, 2022), knowledge creation and scholarly publication for knowledge sharing. In this SoTEL Symposium presentation/discussion with the ASCILITE MLSIG I propose a move away from a humanist world view that continues to shape our thoughts around the binary of teacher-learner within our walled disciplinary and consider how we might Incorporate generative AI tools in the curriculum to foster interdisciplinary collaborations with the more-than human. What if we shifted teaching and learning to facilitate new ways of being on the planet, so that we prioritised ourselves, one another as well as non-human and more-than-humans in our educational ecologies. Building the digital literacies and computational thinking capabilities (George-Reyes, et al, 2021) to learn with GAI will create opportunities to thinking about the world and all its space and places, as interconnected and entangled. In this trendsetter webinar I pose a series of questions and prompts that I had in conversation with Chatty G (ChatGPT) to consider how we might imagine and understand the world in different ways so that we might integrate generative AI and into our education ecologies in higher education. Presentation: https://doi.org/10.26188/22281685","what role can generative ai have an art and design education given that we are in a year of change as open source open ai systems shift how we teach learn and assess in times of question answering chatbot and personal assistance tools applying a post human approach blaikie et al 2020 to education might help us rethink pedagogy wessels et al 2022 knowledge creation and scholarly publication for knowledge sharing in this sotel symposium presentation discussion with the ascilite mlsig i propose a move away from a humanist world view that continues to shape our thoughts around the binary of teacher learner within our walled disciplinary and consider how we might incorporate generative ai tools in the curriculum to foster interdisciplinary collaborations with the more than human what if we shifted teaching and learning to facilitate new ways of being on the planet so that we prioritised ourselves one another as well as non human and more than humans in our educational ecologies building the digital literacies and computational thinking capabilities george reyes et al 2021 to learn with gai will create opportunities to thinking about the world and all its space and places as interconnected and entangled in this trendsetter webinar i pose a series of questions and prompts that i had in conversation with chatty g chatgpt to consider how we might imagine and understand the world in different ways so that we might integrate generative ai and into our education ecologies in higher education presentation https doi org 10 26188 22281685","Generative AI and education ecologies. What role can generative AI have an art and design education? Given that we are in a year of change as open-source Open AI systems shift how we teach, learn, and assess in times of question-answering chatbot and personal assistance tools. Applying a post-human approach (Blaikie, et al, 2020) to education might help us rethink pedagogy (We…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","Kathryn Coleman","Pacific Journal of Technology Enhanced Learning","2023","journal-article","","10.24135/pjtel.v5i1.175","","","https://doi.org/10.24135/pjtel.v5i1.175","generative, education, ecologies","2026-07-29T00:40:36.753Z"
"10.64643/ijirtv12i11-207241-459","Crossref","generative ai education","Impact Of Generative AI On Education","impact of generative ai on education","Sin resumen disponible","","Impact Of Generative AI On Education. Registro recuperado desde Crossref sin resumen disponible.","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","Desconocido","International Journal of Innovative Research in Technology","2026","journal-article","","10.64643/ijirtv12i11-207241-459","","","https://doi.org/10.64643/ijirtv12i11-207241-459","impact, generative, education","2026-07-29T00:40:36.753Z"
"10.37868/sei.v5i2.id196","Crossref","generative ai education","Generative AI: Challenges to higher education","generative ai challenges to higher education","Generative Artificial Intelligence has rapidly expanded its footprint of use in educational institutions. It has been embraced by students, faculty, and staff alike. The technology is capable of carrying out a sustained sequence of interactive dialogs and creating reasonably meaningful text. Not surprisingly it seems to be routinely used by faculty to generate questions and assignments, by students to submit assignments and aid in self-learning, and administration to create manuals, memoranda, and policy documents. With its potential to lead to significant social innovation, tethering on the verge of becoming a disruptive technology, it seems most unlikely that it will fade away without being fully enfolded into almost all aspects of academic and pedagogical activity. While it is early to predict the exact place of this technology in education, we present thoughts to aid deliberations and give a brief review of the opportunities and challenges.","generative artificial intelligence has rapidly expanded its footprint of use in educational institutions it has been embraced by students faculty and staff alike the technology is capable of carrying out a sustained sequence of interactive dialogs and creating reasonably meaningful text not surprisingly it seems to be routinely used by faculty to generate questions and assignments by students to submit assignments and aid in self learning and administration to create manuals memoranda and policy documents with its potential to lead to significant social innovation tethering on the verge of becoming a disruptive technology it seems most unlikely that it will fade away without being fully enfolded into almost all aspects of academic and pedagogical activity while it is early to predict the exact place of this technology in education we present thoughts to aid deliberations and give a brief review of the opportunities and challenges","Generative AI: Challenges to higher education. Generative Artificial Intelligence has rapidly expanded its footprint of use in educational institutions. It has been embraced by students, faculty, and staff alike. The technology is capable of carrying out a sustained sequence of interactive dialogs and creating reasonably meaningful text. Not surprisingly it seems to be routine…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Revisar pertinencia metodológica y usar como referencia complementaria.","Educación","Medio","Sencer Yeralan, Laura Ancona Lee","Sustainable Engineering and Innovation","2023","journal-article","","10.37868/sei.v5i2.id196","","","https://doi.org/10.37868/sei.v5i2.id196","generative, challenges, higher, education","2026-07-29T00:40:36.753Z"
"10.1080/1359866x.2025.2598818","Crossref","generative ai education","Generative AI in Computer Science Education","generative ai in computer science education","Sin resumen disponible","","Generative AI in Computer Science Education. Registro recuperado desde Crossref sin resumen disponible.","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","Nofamataro Zebua","Asia-Pacific Journal of Teacher Education","2025","journal-article","","10.1080/1359866x.2025.2598818","","","https://doi.org/10.1080/1359866x.2025.2598818","generative, computer, science, education","2026-07-29T00:40:36.753Z"
